product_id,category_id,discount_id,product_name,product_price,product_description,unit,value,product_code,created_date,product_detailed_description,product_additional_info
13,17,1,위스카스 파우치 주니어 고등어80g,1200,"성장기 고양이를 위한 고등어 맛 파우치, 풍부한 영양으로 건강한 성장을 돕습니다.",g,80,C2j013,2024.7.22,"위스카스 파우치 주니어 고등어 80g으로 고양이에게 풍부한 맛과 영양을! 신선한 고등어와 부드러운 소스가 조화를 이루어 고양이의 입맛을 사로잡습니다. 주니어 고양이를 위해 설계된 이 제품은 필수 영양소를 제공하며, 간편하게 급여할 수 있는 파우치 형태로 실용적입니다.",
14,13,1,위스카스 주니어 오션피쉬 1.1kg,11900,"성장기 고양이를 위한 오션피쉬 사료, 맛과 영양이 뛰어나 건강한 성장 지원합니다.",g,1100,C1j014,2024.7.23,"위스카스 whiskas 주니어 오션피쉬 1.1kg은 어린 고양이를 위한 균형 잡힌 영양 사료입니다. 신선한 오션피쉬가 주원료로 사용되어 단백질이 풍부하고, 성장기 고양이의 건강과 발육을 지원합니다. 필수 비타민과 미네랄이 함유되어 있어 면역력 증진과 피부 건강에 도움을 줍니다. 작은 알갱이 형태로 어린 고양이가 쉽게 먹을 수 있으며, 맛과 영양을 모두 갖춘 사료입니다.",
15,12,1,포비스 중대형견 전용 샴푸 & 린스,14000,"중대형견을 위한 샴푸와 린스, 부드러운 털과 상쾌한 향을 제공합니다.",ml,1000,D3z015,2024.7.24,"포비스 중대형견 전용 샴푸&린스는 중대형견의 피부와 털을 위한 전문 제품입니다. 고급 성분이 함유되어 있어 털을 부드럽고 윤기 있게 만들어 주며, 피부의 자극을 최소화합니다. 샴푸와 린스가 함께 포함되어 있어 세정과 컨디셔닝을 동시에 해결할 수 있습니다. 향기로운 향과 함께 강아지의 위생과 미용을 챙기기에 적합합니다.",
16,36,1,포비스 항균 탈취제 라임향 1000ml,9500,강력한 항균 효과와 상쾌한 라임향으로 반려동물과 공간을 청결하게 유지합니다.,ml,1000,Z3z016,2024.7.25,"포비스 항균 탈취제는 라임향으로 상쾌한 향기와 강력한 항균 효과를 제공합니다. 반려동물의 생활 공간을 깨끗하고 향기롭게 유지하는 데 도움을 줍니다. 1000ml 대용량으로 경제적이며, 사용이 간편한 스프레이 타입으로 각종 표면과 공간에 쉽게 적용할 수 있습니다.",
17,20,1,30days 닭가슴살 츄르 30개입,12000,"닭가슴살로 만든 츄르, 반려동물에게 건강한 간식과 영양을 제공합니다.",개,30,C2z017,2024.7.26,"30days 닭가슴살 츄르 30개입은 반려견을 위한 맛있는 간식입니다. 신선한 닭가슴살을 사용하여 만든 츄르 타입으로, 반려견이 쉽게 먹을 수 있습니다. 고단백 저지방 간식으로 체중 관리에 도움을 주며, 각 개별 포장으로 신선함을 유지합니다. 훈련 시 보상 간식으로 사용하기 좋고, 반려견의 기분 전환에도 이상적입니다. 간편하게 짜먹일 수 있는 형태로 외출 시에도 편리하게 급여할 수 있습니다.",
18,20,1,30days 연어 츄르 30개입,12000,"연어로 만든 츄르, 오메가-3와 맛을 더한 건강 간식입니다.",개,30,C2z018,2024.7.27,"30days 연어 츄르 30개입으로 반려동물의 간식 시간을 더욱 특별하게! 신선한 연어로 만들어진 이 츄르는 고단백과 풍부한 영양을 제공하며, 고양이의 입맛을 사로잡습니다. 30개입으로 넉넉한 양을 제공하여, 간식이나 훈련 보상으로 적합한 제품입니다.",
19,20,1,"60days 치킨, 연어, 참치 츄르 콤보 60개입",22000,"다양한 맛의 츄르 콤보, 반려동물의 기호에 맞는 맛과 영양을 제공합니다.",개,60,C2z019,2024.7.28,"60days 치킨, 연어, 참치 츄르 콤보 60개입으로 다양한 맛의 즐거움을 반려동물에게! 치킨, 연어, 참치 세 가지 맛을 한 번에 즐길 수 있어 반려동물의 입맛을 만족시킵니다. 각 츄르는 고단백이며 자연 재료로 만들어져 건강하고 맛있는 간식으로 적합합니다. 60개입으로 넉넉한 양을 제공하여 실용적입니다.",
20,14,1,ANF 고양이 참치게맛살캔 95g,1900,"고양이를 위한 참치와 게맛살의 조화, 맛있고 건강한 간식입니다.",g,95,C1a020,2024.7.29,"ANF 고양이참치게맛살캔은 참치와 게맛살을 사용한 고양이용 고급 캔 간식입니다. 95g의 용량으로 신선하게 제공되며, 고단백 저지방으로 고양이의 건강을 지원합니다. 맛과 영양이 풍부하여 기호성이 높으며, 특별한 간식 시간에 적합합니다.",
21,16,1,ANF 고양이 참치무스캔 95g,1900,"부드러운 참치 무스, 고양이의 입맛을 만족시킬 맛있는 간식입니다.",g,95,C1z021,2024.7.30,"ANF 고양이 참치 무스 캔 95g은 고양이를 위한 고급 간식으로, 신선한 참치로 만든 부드러운 무스 형태입니다. 고단백, 저지방 성분으로 고양이의 건강을 지원하며, 촉촉하고 부드러운 질감이 고양이의 미각을 자극합니다. 영양가가 풍부하고 소화가 잘 되는 제품으로, 고양이의 특별한 간식으로 적합합니다.",
22,16,1,ANF 고양이 참치새우캔 95g,1900,참치와 새우의 조합으로 고양이에게 풍부한 맛을 선사하는 캔입니다.,g,95,C1z022,2024.7.31,"ANF 고양이참치새우캔 95g은 고양이를 위한 고급 간식으로, 신선한 참치와 새우가 주요 성분입니다. 단백질과 오메가-3가 풍부하여 건강한 피부와 모발을 지원하며, 고양이의 미각을 만족시킬 수 있는 맛입니다. 소화가 잘 되며, 신선하고 부드러운 식감으로 고양이의 기호를 맞춘 간식입니다.",
23,16,1,ANF 고양이 참치연어캔 95g,1900,"참치와 연어를 혼합한 캔, 영양 가득한 고양이 간식입니다.",g,95,C1z023,2024.8.1,"ANF 고양이참치연어캔은 신선한 참치와 연어를 사용하여 만든 고양이용 간식입니다. 95g의 적당한 용량으로 제공되며, 고단백과 풍부한 오메가-3 지방산이 포함되어 있습니다. 고양이의 기호성을 높이며, 건강한 피부와 털을 유지하는 데 도움을 줍니다.",
24,20,1,ANF 고양이 참치치킨무스캔 95g,1900,"참치와 치킨이 조화를 이루는 무스, 고양이의 입맛을 사로잡는 간식입니다.",g,95,C2z024,2024.8.2,"ANF 고양이 참치 치킨 무스 캔은 95g의 소용량으로 고양이에게 풍부한 참치와 치킨 맛을 제공합니다. 부드럽고 크리미한 질감이 고양이의 입맛을 사로잡으며, 영양가가 높아 일상 간식이나 식사로 적합합니다. 고양이의 건강과 미각을 모두 고려한 제품입니다.",
25,20,1,ANF 고양이 참치순살캔 95g,1900,"순살 참치로 만든 고양이 캔, 맛과 영양을 동시에 제공합니다.",g,95,C2z025,2024.8.3,"참치 순살이 가득한 이 캔 사료는 고양이들이 좋아하는 맛을 제공합니다. 95g의 소용량으로 신선한 참치의 자연스러운 맛과 향을 그대로 담아내어 고양이의 입맛을 사로잡습니다. 영양가가 높아 균형 잡힌 식사로 적합하며, 고양이의 건강을 고려한 제품입니다. 특별한 간식이나 일상 식사로 제공하기 좋습니다.",
26,20,1,ANF 치킨야채캔 95g,1900,"치킨과 야채가 풍부하게 들어간 캔, 균형 잡힌 영양을 제공합니다.",g,95,C2z026,2024.8.4,"ANF 치킨 야채 캔은 고양이를 위한 95g의 영양 가득한 사료입니다. 신선한 치킨과 다양한 야채가 풍부하게 포함되어 있으며, 균형 잡힌 영양을 제공합니다. 부드럽고 맛있는 무스 형태로, 고양이의 입맛을 사로잡습니다. 이 캔 사료는 일상 식사나 특별한 간식으로 적합하며, 고양이의 건강을 고려하여 만들어진 제품입니다.",
27,8,1,DTC 소고기 단호박 져키 200g,4500,"소고기와 단호박으로 만든 건강한 져키, 반려동물의 간식으로 최적입니다.",g,200,D2z027,2024.8.5,"DTC 소고기 단호박 져키 200g은 반려견을 위한 건강한 간식입니다. 소고기와 단호박이 조화를 이루어 풍부한 맛과 영양을 제공합니다. 고단백과 식이섬유가 풍부하여 반려견의 소화와 건강을 지원합니다. 200g의 실용적인 패키지로 간편하게 급여할 수 있으며, 씹는 재미를 더해줍니다.",
28,8,1,DTC 오리 단호박 져키 200g,4500,"오리와 단호박을 조합한 져키, 맛있고 영양가 높은 간식입니다.",g,200,D2z028,2024.7.10,"DTC 오리 단호박 져키 200G는 반려견을 위한 맛있는 간식으로, 오리 고기와 단호박의 조화가 매력적입니다. 고단백 오리 고기는 육질이 부드럽고 영양가가 높으며, 단호박은 소화에 도움을 주고 비타민이 풍부합니다. 인공 첨가물 없이 자연 재료만을 사용해 건강을 고려한 간식으로, 반려견의 씹는 재미와 영양을 동시에 제공합니다.",
29,8,1,KURU Natural 밀크본S 4P 130g,5000,"천연 재료로 만든 밀크본, 반려동물의 치아 건강을 지원합니다.",g,130,D2z029,2024.7.11,"밀크본S는 고소한 밀크 맛의 간식으로, 반려견의 치아 건강을 고려하여 제작된 제품입니다. 부드러운 질감과 높은 영양가로 간식과 보상으로 적합하며, 4P 패키지로 제공되어 경제적입니다. 130g의 대용량으로 매일 간식으로 주기에 적합하며, 반려견의 입맛을 사로잡는 맛과 질감이 특징입니다. 건강과 맛을 동시에 충족시키는 제품입니다.",
30,36,1,슬리커 브러쉬 M,13000,"반려동물의 털을 부드럽게 정리해주는 슬리커 브러쉬, 엉킴을 방지합니다.",X,1,Z3z030,2024.7.12,"슬리커 브러쉬 M은 반려동물의 털 관리에 유용한 브러쉬입니다. 중간 크기의 브러쉬로, 다양한 털 길이에 적합하며, 부드럽고 효과적으로 엉킨 털을 제거합니다. 인체공학적인 손잡이로 편안한 그립감을 제공하며, 반려동물의 털을 깨끗하고 건강하게 유지하는 데 도움을 줍니다.",
31,8,1,Natural 밀크스틱 4P 60g,3600,"천연 재료로 만들어진 밀크스틱, 반려동물의 간식과 치아 관리에 좋습니다.",g,60,D2z031,2024.7.13,"Natural 밀크스틱은 4P 패키지로 60g이 들어 있는 제품입니다. 우유 맛이 가미된 스틱 형태의 간식으로, 반려견의 치아 건강과 영양을 동시에 고려한 제품입니다. 씹는 재미와 함께 영양소를 공급하여 건강한 간식 시간을 제공합니다. 매일 급여하기 적합한 제품입니다.",
32,8,1,Natural 밀크스틱 6P,4100,"맛과 영양이 가득한 밀크스틱, 반려동물의 건강과 만족도를 높입니다.",g,40,D2z032,2024.7.14,"Natural 밀크스틱 6P는 우유 맛의 간식이 6개입으로 제공됩니다. 반려견의 치아 건강을 고려하여 특별히 설계된 제품으로, 씹는 동안 자연스럽게 치아를 관리할 수 있습니다. 영양이 풍부하며, 간식 시간에 적합한 제품입니다. 맛과 건강을 동시에 충족시켜 줍니다.",
33,16,1,New 캐츠랑 전연령 2kg,14700,"모든 연령대의 고양이를 위한 균형 잡힌 사료, 건강한 식습관을 지원합니다.",g,2000,C1z033,2024.7.15,"전 연령층의 고양이를 위한 이 사료는 2kg 대용량으로 제공되며, 균형 잡힌 영양과 맛을 제공합니다. 다양한 연령대의 고양이에게 적합하며, 필요한 모든 영양소를 함유하고 있습니다. 고양이의 건강한 성장과 활력을 지원하며, 일상 식사로 제공하기 좋습니다.",
34,13,1,New 캐츠랑 키튼 2kg,15700,"성장기 고양이를 위한 영양가 높은 사료, 건강한 성장을 돕습니다.",g,2000,C1j034,2024.7.16,"New캐츠랑 키튼 2kg로 고양이의 성장과 건강을 챙기세요! 이 사료는 새끼 고양이의 영양 요구를 충족시키기 위해 설계된 제품으로, 높은 단백질과 필수 비타민이 포함되어 있습니다. 부드럽고 소화가 잘 되는 성분으로 성장기 고양이의 건강을 지원하며, 맛있고 균형 잡힌 식사를 제공합니다.",
35,21,1,플라잉피쉬 낚시대,3900,"고양이의 사냥 본능을 자극하는 낚시대, 재미있고 활동적인 놀이를 제공합니다.",X,1,C3j035,2024.7.17,"SZ 플라잉피쉬 낚시대는 고양이와의 놀이 시간을 더욱 즐겁게 만들어주는 장난감입니다. 물고기 모양의 장난감이 달려 있어 고양이의 사냥 본능을 자극하며, 튼튼한 낚시대와 긴 끈으로 안전하고 재미있게 놀아줄 수 있습니다. 고양이의 운동과 스트레스 해소에 도움을 줍니다.",
36,8,1,THINK YOUR DOG TEETH 소가죽 우유껌 3P,6900,"소가죽과 우유로 만든 껌, 강아지의 치아 건강을 유지하는 데 도움을 줍니다.",개,3,D2z036,2024.7.18,"THINK YOUR DOG TEETH 소가죽 우유껌 3P는 반려견의 구강 건강을 위한 특별한 간식입니다. 고품질 소가죽과 우유를 사용하여 만들어져 씹는 동안 치석과 플라크 제거에 도움을 줍니다. 입냄새를 줄여주고, 반려견의 치아와 잇몸을 건강하게 유지하는 데 효과적입니다. 안전한 성분으로 만들어져 반려견이 안심하고 먹을 수 있습니다. 하루 한 번, 반려견의 구강 건강을 관리하는 데 이상적인 간식입니다.",
37,8,1,THINK YOUR DOG TEETH 소가죽 우유껌 6P,6900,"소가죽과 우유로 만든 다수의 껌, 강아지의 치아와 즐거운 간식을 제공합니다.",개,6,D2z037,2024.7.19,"THINK YOUR DOG TEETH 소가죽 우유껌 6P로 반려견의 치아 건강을 챙기세요! 소가죽과 우유로 만들어진 이 껌은 씹는 동안 치아 사이의 플라크와 타르타르를 효과적으로 제거해주며, 입냄새를 상쾌하게 유지해줍니다. 씹기 좋은 질감과 맛으로 반려견이 즐겁게 간식 시간을 보낼 수 있습니다. 6P로 넉넉하게 사용할 수 있어 경제적입니다.",
38,12,1,강아지 바비큐 장난감,2000,"바비큐 모양의 장난감, 강아지의 호기심을 자극하고 즐거운 놀이를 제공합니다.",X,1,D3z038,2024.7.20,"강아지 바비큐 장난감으로 반려견의 놀이 시간을 더욱 즐겁게! 바비큐 모양의 장난감은 씹기 좋고 튼튼한 재질로 만들어져 반려견이 오랜 시간 즐겁게 놀 수 있습니다. 장난감의 질감과 디자인이 강아지의 관심을 끌며, 놀이와 운동을 통해 스트레스를 해소하는 데 도움을 줍니다.",
39,12,1,개찹 애견장난감,5500,다양한 놀이로 강아지의 에너지를 소모하고 재미를 선사하는 장난감입니다.,X,1,D3z039,2024.7.21,"개찹 애견장난감은 반려견의 놀이와 운동을 위한 다양한 기능을 제공하는 장난감입니다. 내구성이 강한 소재로 제작되어 오랜 사용이 가능하며, 치아 건강과 정신적 자극을 제공합니다. 다양한 형태와 색상으로 반려견의 흥미를 유도하며, 신체 활동을 촉진합니다. 놀이 시간 동안 반려견의 스트레스를 줄여주고, 활동적인 생활을 유지하는 데 도움을 줍니다.",
40,8,1,건강백서 건강까지 챙기는 쌀로 만든 껌 120g,7150,"쌀로 만든 껌으로, 건강을 고려하여 설계된 간식입니다.",g,120,D2z040,2024.7.22,"건강백서 건강까지 챙기는 쌀로 만든 껌 120g으로 반려동물의 건강을 고려한 간식! 쌀을 주원료로 사용하여 소화가 잘 되며, 씹는 동안 치아 건강을 유지하는 데 도움을 줍니다. 부드러운 식감과 맛있는 맛으로 반려동물의 간식 시간에 즐거움을 더해줍니다.",
41,3,1,건강백서 건강한 6세+ 2kg,26300,"6세 이상의 반려견을 위한 영양이 균형 잡힌 사료로, 건강한 노후를 지원합니다.",g,2000,D1s041,2024.7.23,"나이가 많은 반려동물을 위한 건강백서 건강한 6세+ 2kg! 이 사료는 6세 이상의 성숙한 반려동물을 위한 특별한 영양 설계로, 노화에 따라 필요해지는 영양소를 균형 있게 제공합니다. 소화가 잘 되고, 면역력 강화에 도움을 주는 성분이 포함되어 있어 건강한 노후를 지원합니다. 맛있고 건강한 식사로 반려동물의 삶의 질을 향상시켜 보세요.",
42,3,1,건강백서 건강한 6세+ 6kg,65100,"6세 이상의 반려견을 위한 대용량 사료로, 노후 건강을 종합적으로 지원합니다.",g,6000,D1s042,2024.7.24,"건강백서 건강한 6세+ 사료는 6kg 대용량으로 제공되는 반려견 사료입니다. 6세 이상의 반려견을 위한 특수 조정된 영양 성분이 포함되어 있으며, 나이에 맞는 건강을 지원합니다. 관절 건강과 소화 기능을 개선하는 데 도움을 주며, 일상적인 식사로 적합한 제품입니다.",
43,4,1,건강백서 건강한 관절 2kg,26300,"관절 건강을 고려한 사료로, 연골과 관절을 보호하여 활동적인 생활을 돕습니다.",g,2000,D1z043,2024.7.25,"건강백서 건강한 관절 2kg은 반려견의 관절 건강을 위한 특별한 사료입니다. 글루코사민과 콘드로이틴이 함유되어 있어 관절과 연골을 보호하고 강화합니다. 고품질 단백질과 필수 비타민, 미네랄이 균형 있게 포함되어 있어 반려견의 전반적인 건강을 지원합니다. 소화가 잘 되는 성분들로 구성되어 있어 소화기 건강에도 도움을 줍니다. 정기적으로 급여하면 반려견의 관절 건강을 효과적으로 관리할 수 있습니다.",
44,3,1,건강백서 건강한 스트레스 2kg,26300,"스트레스 완화에 도움을 주는 사료로, 안정적이고 편안한 생활을 지원합니다.",g,2000,D1s044,2024.7.26,"건강백서 건강한 스트레스는 2kg 대용량으로 제공되는 반려견 사료입니다. 스트레스 완화와 심리적 안정에 도움을 주는 성분이 포함되어 있습니다. 고단백과 영양가가 풍부하여 반려견의 건강과 행복을 고려한 제품으로, 일상 식사로 적합합니다. 반려견의 심리적 안정과 건강을 지원합니다.",
45,4,1,건강백서 건강한 체중 2kg,26300,"체중 관리가 필요한 반려견을 위한 저칼로리 사료로, 건강한 체중을 유지하도록 돕습니다.",g,2000,D1z045,2024.7.27,"건강백서 건강한 체중 사료는 체중 관리를 위한 고급 반려견용 사료입니다. 2kg의 대용량으로 제공되며, 저지방 고단백으로 체중 조절에 도움을 줍니다. 소화가 잘 되는 재료와 풍부한 영양소가 포함되어 있어 반려견의 건강을 유지하는 데 이상적입니다.",
46,4,1,건강백서 건강한 피부 2kg,26300,"피부와 털 건강을 위한 사료로, 윤기 나는 털과 건강한 피부를 유지합니다.",g,2000,D1z046,2024.7.28,"건강백서 건강한 피부 2kg으로 반려동물의 피부와 털을 건강하게 관리하세요! 이 사료는 피부와 모질 건강을 위해 특별히 설계된 영양 성분을 포함하고 있으며, 비타민과 오메가-3 지방산이 풍부하여 건강한 피부와 윤기 있는 털을 유지하는 데 도움을 줍니다. 2kg의 용량으로 장기간 사용 가능합니다.",
47,4,1,건강백서 건강한 피부 6kg,65100,"피부와 털 건강을 위한 대용량 사료로, 건강한 피부와 윤기 있는 털을 유지합니다.",g,6000,D1z047,2024.7.29,"건강백서 건강한 피부 사료는 반려견의 피부 건강을 위한 고급 사료입니다. 6kg의 대용량으로 제공되며, 피부와 털 건강을 지원하는 비타민과 오메가-3 지방산이 포함되어 있습니다. 소화가 잘 되는 재료로 제조되어 피부 염증을 예방하고 건강한 털을 유지합니다.",
48,7,1,건강백서 노릇노릇 고구마와 닭고기 120g,7150,"고구마와 닭고기로 맛을 낸 간식, 영양가와 맛이 풍부합니다.",g,120,D2s048,2024.7.30,"건강백서 노릇노릇 고구마와 닭고기는 120g의 패키지로 제공되는 반려견 간식입니다. 고구마와 닭고기의 조화로운 맛이 반려견의 입맛을 돋우어 주며, 건강한 성분으로 만들어졌습니다. 씹기 좋은 질감과 영양가로 간식 시간이나 훈련 보상으로 적합한 제품입니다.",
49,7,1,건강백서 똑자른 닭고기 160g,7150,"닭고기로 만들어진 간식, 간편하게 잘라 먹을 수 있는 형태입니다.",g,160,D2s049,2024.7.31,"건강백서 똑자른 닭고기 160g으로 반려동물의 간식 시간을 건강하게! 신선한 닭고기를 적당한 크기로 썰어 부드럽고 먹기 좋으며, 고단백 간식으로 반려동물의 에너지를 채워줍니다. 160g의 양으로 넉넉하게 간식으로 제공할 수 있는 실용적인 제품입니다.",
50,2,1,건강백서 말티즈 2kg,28500,"말티즈를 위한 맞춤형 사료로, 영양이 풍부하여 건강한 성장과 유지에 도움을 줍니다.",g,2000,D1a050,2024.8.1,"건강백서 말티즈는 말티즈 전용으로 설계된 고급 사료입니다. 영양 균형을 고려하여 말티즈의 건강과 활력을 유지하도록 돕습니다. 소화가 잘되는 고급 단백질과 필수 영양소를 함유하여 피부와 털 건강을 지키고, 작은 알갱이로 말티즈의 섭취를 용이하게 합니다. 반려견의 행복한 삶을 위해 꼭 필요한 선택입니다.",
51,8,1,건강백서 베지버거 100g,3080,"야채와 버거 형태로 만든 간식, 영양과 맛을 균형 있게 제공합니다.",g,100,D2z051,2024.8.2,"건강백서 베지버거 100g은 반려견을 위한 건강한 간식입니다. 채소를 주원료로 하여 저칼로리이면서도 영양이 풍부하여 다이어트 중인 반려견에게 이상적입니다. 고소한 맛과 식감으로 반려견의 입맛을 만족시키며, 소화가 잘 되는 성분으로 민감한 반려견도 안심하고 먹을 수 있습니다. 휴대하기 좋은 크기와 포장으로 외출 시에도 간편하게 챙길 수 있습니다.",
52,8,1,건강백서 부드러운 식감의 오리고기 160g,7150,"부드러운 식감의 오리고기로 만든 간식, 반려견의 기호에 맞는 간식입니다.",g,160,D2z052,2024.8.3,"건강백서 부드러운 식감의 오리고기 160g은 반려견을 위한 프리미엄 간식입니다. 신선한 오리고기를 사용하여 부드럽고 촉촉한 식감을 제공하며, 고단백 저지방으로 반려견의 건강을 지원합니다. 자연 그대로의 맛과 향을 담아 까다로운 입맛의 반려견도 만족시킵니다. 인공 첨가물이 없어 안전하며, 훈련 간식이나 특별한 보상 간식으로 이상적입니다. 소화가 잘 되어 반려견의 소화기 건강에도 도움이 됩니다.",
